time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-14T05:33:26.550Z,38.8424988,-122.8268356,2.4,0.36,md,8,73,0.01244,0.01,nc,nc72326796,2014-10-14T08:01:03.920Z,"9km WNW of Cobb, California",earthquake
2014-10-14T05:20:46.470Z,37.4833336,-118.7845001,7.04,1.16,md,13,234,0.05017,0.03,nc,nc72326791,2014-10-14T08:04:04.247Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-14T05:06:50.000Z,61.2815,-152.5024,0,2.5,ml,,,,0.61,ak,ak11417817,2014-10-14T13:09:27.899Z,"89km N of Redoubt Volcano, Alaska",earthquake
2014-10-14T05:06:01.920Z,35.796,-97.4209,6.02,3.1,mb_lg,,89,0.027,0.71,us,usb000slxz,2014-10-14T11:05:57.212Z,"9km S of Guthrie, Oklahoma",earthquake
2014-10-14T05:05:44.000Z,62.9949,-150.3504,15.4,1.8,ml,,,,0.26,ak,ak11417815,2014-10-14T05:37:29.198Z,"75km N of Talkeetna, Alaska",earthquake
2014-10-14T05:04:58.570Z,38.8216667,-122.8101654,3.61,1.01,md,16,55,0.001727,0.03,nc,nc72326776,2014-10-14T07:16:04.133Z,"6km NW of The Geysers, California",earthquake
2014-10-14T04:55:45.440Z,36.4969,-98.4512,7.92,3.4,mb_lg,,81,0.377,0.73,us,usb000slxq,2014-10-14T06:34:01.284Z,"17km WSW of Helena, Oklahoma",earthquake
2014-10-14T04:41:39.400Z,37.661499,-118.8596649,4.47,1.64,md,18,149,0.03015,0.05,nc,nc72326766,2014-10-14T07:06:08.052Z,"10km E of Mammoth Lakes, California",earthquake
2014-10-14T04:12:30.950Z,-34.9168,179.9698,31.48,6.1,mb,,52,2.962,1.34,us,usb000slwz,2014-10-14T12:15:10.758Z,"South of the Kermadec Islands",earthquake
2014-10-14T04:08:52.320Z,34.4566667,-117.431,14.31,1.67,ml,19,52,0.0936,0.22,ci,ci37278904,2014-10-14T12:11:18.929Z,"8km WSW of Mountain View Acres, California",earthquake
2014-10-14T04:06:28.460Z,38.803833,-122.7870026,1.55,0.72,md,8,85,0.007688,0.02,nc,nc72326756,2014-10-14T06:37:05.113Z,"3km NW of The Geysers, California",earthquake
2014-10-14T04:01:32.920Z,12.3793,-88.1963,35,5,mb,,125,0.859,1.33,us,usb000slws,2014-10-14T11:32:54.041Z,"90km WSW of Jiquilillo, Nicaragua",earthquake
